price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon
7150000,15.78262291467019,27.0,1,1,5,метро Сокол,17 минут пешком,1,17,https://www.cian.ru/sale/flat/283941996/,"ул. Стромынка, 19К2",55.795438,37.697756
29182300,17.189072919063044,65.8,3,2,33,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/305914445/,ул. Гастелло,55.78398,37.688755
56342580,17.846961112761246,114.1,4,29,33,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/314263941/,ул. Гастелло,55.78398,37.688755
38500000,17.466168799258014,95.5,4,15,28,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/308484329/,"ул. Матросская Тишина, 1А",55.7832,37.68844
63312300,17.963590181034327,131.0,5,23,33,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/314221129/,ул. Гастелло,55.78398,37.688755
16000000,16.588099280204055,38.8,1,8,12,метро Сокол,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315046319/,"3-я Рыбинская ул., 1",55.791314,37.659784
21000000,16.860032995687696,70.0,3,2,7,метро Сокол,12 минут пешком,1,12,https://www.cian.ru/sale/flat/314891902/,"Малая Остроумовская ул., 1",55.794163,37.691234
65000000,17.98989782785991,126.0,4,15,15,метро Сокол,13 минут пешком,1,13,https://www.cian.ru/sale/flat/315149604/,"Большая Остроумовская ул., 10К2",55.795499,37.689977
34800000,17.365127944744703,77.0,3,7,11,метро Сокол,17 минут пешком,1,17,https://www.cian.ru/sale/flat/316820311/,"ул. Гастелло, 41",55.78322,37.695402
17000000,16.64872390202049,49.0,2,3,6,метро Сокол,12 минут пешком,1,12,https://www.cian.ru/sale/flat/314486861/,"Малая Остроумовская ул., 1Г",55.794386,37.69003
16000000,16.588099280204055,71.7,3,3,5,метро Сокол,17 минут пешком,1,17,https://www.cian.ru/sale/flat/315714534/,"ул. Стромынка, 19К2",55.795438,37.697756
39979520,17.503877880961454,89.6,3,2,16,метро Сокол,11 минут пешком,1,11,https://www.cian.ru/sale/flat/316386439/,"ул. Матросская Тишина, 12",55.786009,37.690192
30300300,17.22666817142068,51.4,2,13,16,метро Сокол,11 минут пешком,1,11,https://www.cian.ru/sale/flat/316384652/,"ул. Матросская Тишина, 12",55.786009,37.690192
118667340,18.5918346742894,164.2,4,16,16,метро Сокол,11 минут пешком,1,11,https://www.cian.ru/sale/flat/316386847/,"ул. Матросская Тишина, 12",55.786009,37.690192
30256862,17.225233559691354,41.5,1,16,20,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/316386174/,"Рубцовско-Дворцовая ул., 4",55.786328,37.69348
38970000,17.478302677314893,86.6,3,4,24,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/307992829/,ул. Гастелло,55.78398,37.688755
13700000,16.432906390798355,35.0,1,11,12,метро Сокол,9 минут пешком,1,9,https://www.cian.ru/sale/flat/312098071/,"ул. 4-я Сокольническая, 3",55.786647,37.686689
19824750,16.802441715065196,40.5,1,3,24,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/305914282/,ул. Гастелло,55.78398,37.688755
16500000,16.61887093887081,55.4,3,1,5,метро Сокол,13 минут пешком,1,13,https://www.cian.ru/sale/flat/313441226/,"Большая Остроумовская ул., 17",55.795175,37.687749
